EPOCH	TIME	MOVTSKIN	MOVACCTR	MOVACCLO	MOVACCFW	MOVTCOV	MADACCTR	MADACCLO	COMPGSR	PEDO3	PLATEAU	TRPEAKS	MOVTHETA	MADTHETA	TCOUNT	LOGSWEEP	LCOUNT	T0CROSS	L0CROSS	PEDO3TOE	LOPEAKS	MOVVBAT	MADACCFW	FCOUNT	F0CROSS	FWPEAKS	MOVGSR	EE	
1304661517	Fri 05/06/11 01:58:37	4095	2179	2479	2057	4095	0	0	4095	0	0	0	2048	2492	0	0	0	0	0	0	0	3101	0	0	0	0	4095	4095	
1304661577	Fri 05/06/11 01:59:37	2189	2332	2291	2085	2020	175	146	52	0	0	174	2202	839	460	1845	430	119	99	0	185	3045	104	306	52	140	1422	235	
1304661637	Fri 05/06/11 02:00:37	2222	2396	2294	2117	2079	61	43	106	0	0	155	2237	809	154	1353	90	60	18	0	126	3046	43	99	28	128	1477	214	
1304661697	Fri 05/06/11 02:01:37	2246	2429	2259	2114	2132	13	11	151	0	144	5	2110	1357	0	0	0	0	0	0	4	3046	8	0	0	6	1522	187	
1304661757	Fri 05/06/11 02:02:37	2267	2387	2251	2192	2173	37	31	194	0	2049	78	2070	975	93	1328	79	26	17	0	60	3046	30	86	13	56	1565	180	
1304661817	Fri 05/06/11 02:03:37	2287	2442	2059	2074	2193	23	16	247	0	0	47	2012	891	41	1171	26	13	1	0	35	3046	19	15	1	56	1618	167	
1304661877	Fri 05/06/11 02:04:37	2299	2440	2047	1921	2200	20	18	297	0	0	45	2252	851	32	1056	16	10	2	0	39	3046	22	34	4	55	1668	162	
1304661937	Fri 05/06/11 02:05:37	2308	2451	2081	2134	2213	27	19	338	0	0	46	2096	944	62	1147	30	25	2	0	35	3046	27	62	9	63	1709	166	
1304661997	Fri 05/06/11 02:06:37	2314	2456	2120	2140	2209	24	16	371	0	0	43	2034	961	59	1126	19	20	2	0	36	3045	20	20	5	59	1742	163	
1304662057	Fri 05/06/11 02:07:37	2319	2279	2038	1754	2215	56	48	399	0	0	121	2167	777	184	1416	162	42	28	0	108	3046	56	192	32	109	1770	183	
1304662117	Fri 05/06/11 02:08:37	2326	2226	2127	1658	2235	10	10	423	0	395	19	2119	1206	16	908	13	8	3	0	19	3045	13	20	6	25	1794	176	
1304662177	Fri 05/06/11 02:09:37	2334	2261	2174	1776	2248	26	21	445	0	0	62	2077	1067	69	1160	46	21	7	0	48	3045	26	71	7	50	1816	177	
1304662237	Fri 05/06/11 02:10:37	2343	2392	2322	2021	2280	16	16	469	0	0	38	2125	1129	0	0	1	0	1	0	40	3045	20	1	1	72	1840	169	
1304662297	Fri 05/06/11 02:11:37	2352	2394	2320	2001	2314	21	20	491	0	0	56	2076	1203	19	648	9	5	4	0	56	3045	25	27	7	79	1862	169	
1304662357	Fri 05/06/11 02:12:37	2363	2397	2319	2008	2342	13	12	512	0	848	17	2034	1329	0	0	0	0	0	0	15	3046	13	1	0	28	1883	174	
1304662417	Fri 05/06/11 02:13:37	2374	2395	2323	2033	2364	12	10	531	0	2064	11	2026	1295	0	0	0	0	0	0	11	3046	12	0	0	18	1902	182	
1304662477	Fri 05/06/11 02:14:37	2385	2400	2309	2000	2381	15	14	553	0	2059	29	2089	1136	2	584	5	0	1	0	28	3045	19	19	2	42	1924	179	
1304662537	Fri 05/06/11 02:15:37	2397	2408	2288	1965	2399	12	10	582	0	272	10	2054	1245	0	0	0	0	0	0	12	3045	12	0	0	24	1953	178	
1304662597	Fri 05/06/11 02:16:37	2407	2455	2148	2100	2413	34	25	606	0	2048	32	2332	989	56	1447	50	10	12	0	56	3045	28	39	7	51	1977	172	
1304662657	Fri 05/06/11 02:17:37	2413	2442	2213	2148	2413	8	8	614	0	656	1	2032	1191	0	0	0	0	0	0	7	3046	11	0	0	29	1985	176	
1304662717	Fri 05/06/11 02:18:37	2415	2412	2232	2043	2407	38	35	621	0	2058	83	2091	1121	93	1251	83	37	14	0	103	3045	35	57	19	94	1992	174	
1304662777	Fri 05/06/11 02:19:37	2415	2413	2244	2123	2375	21	17	628	0	0	47	2135	976	35	1153	27	0	2	0	34	3045	24	37	3	66	1999	168	
1304662837	Fri 05/06/11 02:20:37	2413	2436	2233	2108	2352	22	18	634	0	0	48	2175	894	45	997	33	11	8	0	41	3045	24	30	10	69	2005	170	
1304662897	Fri 05/06/11 02:21:37	2410	1967	2014	1837	2320	29	24	641	0	0	66	2142	915	76	1287	56	20	11	0	54	3045	25	72	8	50	2013	173	
1304662957	Fri 05/06/11 02:22:37	2406	1726	1785	2188	2290	10	11	641	0	336	4	1991	1449	0	0	0	0	0	0	5	3045	9	0	0	7	2012	177	
1304663017	Fri 05/06/11 02:23:37	2402	2087	2015	1782	2291	26	19	640	0	2051	32	2209	1064	61	1341	36	9	10	0	35	3045	22	50	8	38	2011	177	
