Start-Time	End-Time	Calories
1304661517	1304668837	186
1304668837	1304676037	189
1304676037	1304683237	179
1304683237	1304694002	412
1304694002	1304701202	304
1304699402	1304703722	253
1304710202	1304712842	111
1304856002	1304861402	256
1304861402	1304866802	273
1304866802	1304873282	465
1304866802	1304882132	802
1304882132	1304897432	452
1304899232	1304913632	388
1304917232	1304920832	92
1304928032	1304942432	358
1304942432	1304949632	265
1304942432	1304960432	709
1304949632	1304960432	482
1304953232	1304964032	377
1304964032	1304974836	316
1304974836	1304985636	301
1304985636	1304998948	777
1305003628	1305007228	95
1305007228	1305014428	178
1305016228	1305023428	181
1305025228	1305032428	184
1305029428	1305037457	266
1305034228	1305042137	319
